Date,Price,Volume
28-Oct-15,8.47,8.79
29-Oct-15,8.31,17.09
30-Oct-15,8.26,17.88
2-Nov-15,8.27,10.4
3-Nov-15,8.31,11
4-Nov-15,8.35,10.4
5-Nov-15,8.38,6.51
6-Nov-15,8.35,5.99
9-Nov-15,8.39,5.32
11-Nov-15,8.22,12.93
12-Nov-15,8.36,6.7
13-Nov-15,8.3,6.76
16-Nov-15,8.3,9.56
17-Nov-15,8.24,11.88
18-Nov-15,8.18,7.32
19-Nov-15,8.24,5.44
20-Nov-15,8.32,3.61
23-Nov-15,8.4,6.67
24-Nov-15,8.34,5.41
25-Nov-15,8.41,10.3
26-Nov-15,8.48,8.75
27-Nov-15,8.44,4.85
30-Nov-15,8.32,21.51
1-Dec-15,8.45,13.66
2-Dec-15,8.41,4.51
3-Dec-15,8.36,10.15
4-Dec-15,8.37,5.29
7-Dec-15,8.41,4.5
8-Dec-15,8.41,4.33
9-Dec-15,8.4,4.21
10-Dec-15,8.41,9.76
11-Dec-15,8.33,6.59
14-Dec-15,8.25,7.95
15-Dec-15,8.18,10.69
16-Dec-15,8.31,10.25
17-Dec-15,8.41,7.1
18-Dec-15,8.28,7.86
21-Dec-15,8.21,7.37
22-Dec-15,8.25,5.41
23-Dec-15,8.3,5.24
28-Dec-15,8.39,6.62
29-Dec-15,8.44,9.23
30-Dec-15,8.45,7.48
31-Dec-15,8.4,4.02
4-Jan-16,8.2,11.27
5-Jan-16,8.33,7.54
6-Jan-16,8.33,6.94
7-Jan-16,8.3,10.52
8-Jan-16,8.34,9.03
11-Jan-16,8.32,7.89
12-Jan-16,8.32,7.34
13-Jan-16,8.34,5.33
14-Jan-16,8.35,11.43
15-Jan-16,8.32,7.75
18-Jan-16,8.29,7.61
19-Jan-16,8.33,3.16
20-Jan-16,8.28,9.38
21-Jan-16,8.18,8.03
22-Jan-16,8.31,6.77
26-Jan-16,8.29,8.85
27-Jan-16,8.34,7.37
28-Jan-16,8.41,10.29
29-Jan-16,8.58,28.53
2-Feb-16,8.54,17.34
3-Feb-16,8.44,7.8
4-Feb-16,8.57,12.89
5-Feb-16,8.54,5.85
10-Feb-16,8.59,6.92
11-Feb-16,8.54,7.09
12-Feb-16,8.51,7.09
15-Feb-16,8.55,5.75
16-Feb-16,8.55,8.73
17-Feb-16,8.56,8.09
18-Feb-16,8.64,8.01
19-Feb-16,8.63,5.83
22-Feb-16,8.63,8.65
23-Feb-16,8.64,7.5
24-Feb-16,8.63,8.24
25-Feb-16,8.64,12.98
26-Feb-16,8.53,20.86
29-Feb-16,8.51,22.96
1-Mar-16,8.64,10.29
2-Mar-16,8.75,17.46
3-Mar-16,8.74,13.31
4-Mar-16,8.75,8.16
7-Mar-16,8.83,15.97
8-Mar-16,8.78,12.34
9-Mar-16,8.7,8.77
10-Mar-16,8.78,11.6
11-Mar-16,8.81,6.55
14-Mar-16,8.8,7.61
15-Mar-16,8.73,7.41
16-Mar-16,8.82,5.58
17-Mar-16,8.88,11.75
18-Mar-16,8.91,18.67
21-Mar-16,8.95,7.34
22-Mar-16,8.95,13.11
23-Mar-16,8.95,11.82
24-Mar-16,8.95,12.25
25-Mar-16,8.89,3.1
28-Mar-16,8.9,4.77
29-Mar-16,8.95,6.7
30-Mar-16,8.97,13.94
31-Mar-16,9.02,14
1-Apr-16,8.99,8.94
4-Apr-16,9.13,11.02
5-Apr-16,9,10.77
6-Apr-16,9.01,7.15
7-Apr-16,9.12,17.23
8-Apr-16,9.13,13.17
11-Apr-16,9.12,6.57
12-Apr-16,9.14,5.55
13-Apr-16,9.15,13.44
14-Apr-16,9.15,13.25
15-Apr-16,9.17,6.81
18-Apr-16,9.16,10.97
19-Apr-16,9.08,13.16
20-Apr-16,9.03,9.29
21-Apr-16,9.01,9.26
22-Apr-16,9.05,7.29
25-Apr-16,9.01,7.22
26-Apr-16,8.97,10.4
27-Apr-16,8.95,6.31
28-Apr-16,8.9,10.03
29-Apr-16,8.93,7.07
3-May-16,8.78,7.72
4-May-16,8.54,13.67
5-May-16,8.53,9.66
6-May-16,8.67,7.71
9-May-16,8.76,5.72
10-May-16,8.8,5.95
11-May-16,8.85,4.46
12-May-16,8.82,3.49
13-May-16,8.49,49.35
16-May-16,8.45,13.94
17-May-16,8.53,7.54
18-May-16,8.66,12.62
19-May-16,8.48,23.75
20-May-16,8.44,9.17
23-May-16,8.47,7.39
24-May-16,8.31,21.19
25-May-16,8.3,21.78
26-May-16,8.37,11.48
27-May-16,8.27,19.63
30-May-16,8.23,16.61
31-May-16,8.16,167.13
1-Jun-16,8.23,21.24
2-Jun-16,8.27,14
3-Jun-16,8.27,11.02
6-Jun-16,8.42,7.77
7-Jun-16,8.39,14.88
8-Jun-16,8.27,11.64
9-Jun-16,8.25,8.23
10-Jun-16,8.2,4.15
13-Jun-16,8.16,9.21
14-Jun-16,8,27.71
15-Jun-16,8.13,13.11
16-Jun-16,8.03,9.31
17-Jun-16,8.09,7.93
20-Jun-16,8.2,15.55
21-Jun-16,8.22,15.78
23-Jun-16,8.2,10.45
24-Jun-16,8.2,14.18
27-Jun-16,8.18,10.2
28-Jun-16,8.19,6.94
29-Jun-16,8.12,4.87
30-Jun-16,8.14,9.89
1-Jul-16,8.2,4.19
4-Jul-16,8.23,6.44
5-Jul-16,8.2,2.1
8-Jul-16,8.2,4.4
11-Jul-16,8.19,6.44
12-Jul-16,8.2,6.26
13-Jul-16,8.12,11.17
14-Jul-16,8.02,14.25
15-Jul-16,8.17,5.79
18-Jul-16,8.17,4.2
19-Jul-16,8.16,4.64
20-Jul-16,8.12,2.95
21-Jul-16,8.02,8.71
22-Jul-16,8.03,4.45
25-Jul-16,8.1,6.76
26-Jul-16,8.09,2.42
27-Jul-16,8.03,8.16
28-Jul-16,8.04,4.56
29-Jul-16,8.02,10.07
1-Aug-16,8.03,8.16
2-Aug-16,7.98,9.89
3-Aug-16,7.86,17.33
4-Aug-16,7.93,6.28
5-Aug-16,8,7.56
8-Aug-16,7.98,6.6
9-Aug-16,8,3.89
10-Aug-16,7.95,3.77
11-Aug-16,8,6.15
12-Aug-16,8.01,5.97
15-Aug-16,7.97,6.32
16-Aug-16,8.05,9.81
17-Aug-16,8.01,7.8
18-Aug-16,8,5.73
19-Aug-16,8,3.32
22-Aug-16,7.99,3.63
23-Aug-16,8,3.56
24-Aug-16,7.99,5.28
25-Aug-16,7.9,8.42
26-Aug-16,8,5.8
29-Aug-16,7.9,6.64
30-Aug-16,7.82,11.32
1-Sep-16,7.75,12.51
2-Sep-16,7.75,4.1
5-Sep-16,7.89,4.82
6-Sep-16,7.87,5.31
7-Sep-16,7.9,3.43
8-Sep-16,7.95,2.71
9-Sep-16,7.95,3.71
13-Sep-16,7.94,5.66
14-Sep-16,7.89,8.91
15-Sep-16,7.84,10.3
19-Sep-16,7.83,7.39
20-Sep-16,7.8,10.82
21-Sep-16,7.76,8.62
22-Sep-16,7.8,17
23-Sep-16,7.67,8.06
26-Sep-16,7.69,2.22
27-Sep-16,7.59,8.17
28-Sep-16,7.52,8.98
29-Sep-16,7.62,10.09
30-Sep-16,7.5,8.99
4-Oct-16,7.58,6.52
5-Oct-16,7.65,5.42
6-Oct-16,7.7,4.63
7-Oct-16,7.63,4.48
10-Oct-16,7.7,5.68
11-Oct-16,7.7,4.77
12-Oct-16,7.66,2.56
13-Oct-16,7.63,4.89
14-Oct-16,7.61,3.37
17-Oct-16,7.6,4.31
18-Oct-16,7.71,5.67
19-Oct-16,7.7,3.73
20-Oct-16,7.6,3.9
21-Oct-16,7.69,6.85
24-Oct-16,7.73,6.54
25-Oct-16,7.9,11.79
26-Oct-16,7.92,7.78
27-Oct-16,7.79,6.23
28-Oct-16,7.83,4.93
31-Oct-16,7.9,9.14
1-Nov-16,7.86,1.7
2-Nov-16,7.81,2.74
3-Nov-16,7.78,5.5
4-Nov-16,7.67,8.54
7-Nov-16,7.83,5.8
8-Nov-16,7.95,16.51
9-Nov-16,7.87,7.64
10-Nov-16,7.96,14.72
11-Nov-16,7.8,12.21
14-Nov-16,7.67,8.12
15-Nov-16,7.78,3.9
16-Nov-16,7.66,6.06
17-Nov-16,7.75,2.94
18-Nov-16,7.68,6.69
21-Nov-16,7.78,1.9
22-Nov-16,7.69,4.54
23-Nov-16,7.68,7.12
24-Nov-16,7.7,5.85
25-Nov-16,7.8,7.8
28-Nov-16,7.75,4.5
29-Nov-16,7.89,9.35
30-Nov-16,7.77,13.02
1-Dec-16,7.79,3.84
2-Dec-16,7.85,2.15
5-Dec-16,7.84,2.82
6-Dec-16,7.88,5.15
7-Dec-16,7.89,3.71
8-Dec-16,7.9,5.63
9-Dec-16,7.91,4.46
13-Dec-16,7.94,7.73
14-Dec-16,7.95,7.86
15-Dec-16,7.92,7.04
16-Dec-16,7.94,7.59
19-Dec-16,7.92,4.15
20-Dec-16,7.91,6.39
21-Dec-16,7.87,8.05
22-Dec-16,7.76,7.56
23-Dec-16,7.74,6.26
27-Dec-16,7.75,3.43
28-Dec-16,7.95,7.26
29-Dec-16,7.98,7.81
30-Dec-16,8.2,24.83
3-Jan-17,8.01,4.94
4-Jan-17,8.08,5.68
5-Jan-17,8.19,11.95
6-Jan-17,8.25,11.38
9-Jan-17,8.26,7.14
10-Jan-17,8.28,5
11-Jan-17,8.3,6.43
12-Jan-17,8.31,11.99
13-Jan-17,8.32,10.3
16-Jan-17,8.05,12
17-Jan-17,8.17,8.14
18-Jan-17,8.21,7.94
19-Jan-17,8.25,7.82
20-Jan-17,8.27,5.9
23-Jan-17,8.28,7.68
24-Jan-17,8.32,11.62
25-Jan-17,8.33,9.1
26-Jan-17,8.32,5.55
27-Jan-17,8.25,9.8
31-Jan-17,8.22,10.32
2-Feb-17,8.13,13.41
3-Feb-17,8.2,9.52
6-Feb-17,8.22,8.17
7-Feb-17,8.17,4.26
8-Feb-17,8.2,10.75
10-Feb-17,8.3,12.42
13-Feb-17,8.35,9.75
14-Feb-17,8.32,11.11
15-Feb-17,8.37,9.69
16-Feb-17,8.4,23.4
17-Feb-17,8.46,26.38
20-Feb-17,8.42,5.62
21-Feb-17,8.4,4.11
22-Feb-17,8.42,7.55
23-Feb-17,8.4,7.36
24-Feb-17,8.6,22.58
27-Feb-17,8.62,9.55
28-Feb-17,8.6,16.86
1-Mar-17,8.62,12.1
2-Mar-17,8.75,27.05
3-Mar-17,8.73,13.28
6-Mar-17,8.82,17.4
7-Mar-17,8.8,23.25
8-Mar-17,8.83,10.1
9-Mar-17,8.73,14.32
10-Mar-17,8.77,14.42
13-Mar-17,8.8,11.66
14-Mar-17,8.85,14.97
15-Mar-17,8.75,7.22
16-Mar-17,8.85,34.04
17-Mar-17,8.9,34.24
20-Mar-17,8.9,10.99
21-Mar-17,9,20.29
22-Mar-17,8.94,15.06
23-Mar-17,9,16.53
24-Mar-17,8.99,9.62
27-Mar-17,8.97,7.16
28-Mar-17,9,11.54
29-Mar-17,8.97,9.95
30-Mar-17,8.92,11.34
31-Mar-17,8.92,9.42
3-Apr-17,9,8.29
4-Apr-17,9,10.48
5-Apr-17,8.95,12
6-Apr-17,8.94,25.41
7-Apr-17,9,30.7
10-Apr-17,8.99,8.02
11-Apr-17,8.98,5.56
12-Apr-17,8.98,7.06
13-Apr-17,8.96,12.39
14-Apr-17,8.95,7.48
17-Apr-17,9.02,14.49
18-Apr-17,9.04,15.44
19-Apr-17,9.05,22.36
20-Apr-17,9.08,24.08
21-Apr-17,9.4,41.14
25-Apr-17,9.37,21.73
26-Apr-17,9.48,29.08
27-Apr-17,9.54,33.35
28-Apr-17,9.58,34.36
2-May-17,9.6,34.06
3-May-17,9.59,20.03
4-May-17,9.2,19.42
5-May-17,9.3,18.99
8-May-17,9.39,13.28
9-May-17,9.36,14.77
11-May-17,9.31,21.51
12-May-17,9.38,12.68
15-May-17,9.38,13.07
16-May-17,9.35,11.15
17-May-17,9.34,10.56
18-May-17,9.32,14.7
19-May-17,9.35,28.52
22-May-17,9.35,10.33
23-May-17,9.35,12.39
24-May-17,9.36,16.26
25-May-17,9.39,38.06
26-May-17,9.4,11.62
29-May-17,9.4,7.79
30-May-17,9.36,10.92
